Entity,Year,is_air_psgr
France,1970,9108000.0
France,1971,9569200.0
France,1972,11285100.0
France,1973,11957500.0
France,1974,12159300.0
France,1975,13112800.0
France,1976,14301900.0
France,1977,15431300.0
France,1978,16821200.0
France,1979,17967000.0
France,1980,19521000.0
France,1981,21591200.0
France,1982,22372400.0
France,1983,23278100.0
France,1984,23694300.0
France,1985,24491900.0
France,1986,25211400.0
France,1987,27950200.0
France,1988,30667300.0
France,1989,33975500.0
France,1990,35963900.0
France,1991,33127800.0
France,1992,33963900.0
France,1993,35625600.0
France,1994,38170400.0
France,1995,36020400.0
France,1996,41252600.0
France,1997,43400700.0
France,1998,42232400.0
France,1999,49536300.0
France,2000,52581310.0
France,2001,50476540.0
France,2002,49305864.0
France,2003,47258820.0
France,2004,48543470.0
France,2005,52477176.0
France,2006,59537870.0
France,2007,61551256.0
France,2008,61214656.0
France,2009,58318310.0
France,2010,60864424.0
France,2011,64185340.0
France,2012,64683770.0
France,2013,63925150.0
France,2014,63434264.0
France,2015,65039504.0
France,2016,65362744.0
France,2017,68316470.0
France,2018,70188030.0
France,2019,71289280.0
France,2020,24956344.0
France,2021,32000528.0
High-income countries,1970,273765900.0
High-income countries,1971,293351700.0
High-income countries,1972,323073200.0
High-income countries,1973,352339000.0
High-income countries,1974,365153200.0
High-income countries,1975,368007200.0
High-income countries,1976,398613800.0
High-income countries,1977,432883400.0
High-income countries,1978,486575500.0
High-income countries,1979,548065700.0
High-income countries,1980,534590700.0
High-income countries,1981,527271600.0
High-income countries,1982,536223300.0
High-income countries,1983,563285800.0
High-income countries,1984,604035100.0
High-income countries,1985,649065700.0
High-income countries,1986,699685200.0
High-income countries,1987,752753900.0
High-income countries,1988,791575300.0
High-income countries,1989,818790800.0
High-income countries,1990,854022500.0
High-income countries,1991,962083100.0
High-income countries,1992,943082700.0
High-income countries,1993,937736700.0
High-income countries,1994,1007716740.0
High-income countries,1995,1058155700.0
High-income countries,1996,1133252600.0
High-income countries,1997,1186722400.0
High-income countries,1998,1196486400.0
High-income countries,1999,1290064000.0
High-income countries,2000,1382056700.0
High-income countries,2001,1336609000.0
High-income countries,2002,1307644900.0
High-income countries,2003,1337086000.0
High-income countries,2004,1485950700.0
High-income countries,2005,1530895100.0
High-income countries,2006,1586231600.0
High-income countries,2007,1664131100.0
High-income countries,2008,1638468100.0
High-income countries,2009,1626892700.0
High-income countries,2010,1848779900.0
High-income countries,2011,1917406300.0
High-income countries,2012,1956411100.0
High-income countries,2013,2028636800.0
High-income countries,2014,2120845600.0
High-income countries,2015,2246481700.0
High-income countries,2016,2365329200.0
High-income countries,2017,2481591800.0
High-income countries,2018,2605540600.0
High-income countries,2019,2715403300.0
High-income countries,2020,929885250.0
High-income countries,2021,1345746300.0
Low-income countries,1970,1771600.0
Low-income countries,1971,1958800.0
Low-income countries,1972,1890900.0
Low-income countries,1973,1923200.0
Low-income countries,1974,2194700.0
Low-income countries,1975,2412200.0
Low-income countries,1976,3055300.0
Low-income countries,1977,3188700.0
Low-income countries,1978,3283900.0
Low-income countries,1979,3600900.0
Low-income countries,1980,3876500.0
Low-income countries,1981,4082100.0
Low-income countries,1982,4133500.0
Low-income countries,1983,4210500.0
Low-income countries,1984,4251100.0
Low-income countries,1985,3859300.0
Low-income countries,1986,4160000.0
Low-income countries,1987,4155300.0
Low-income countries,1988,4291800.0
Low-income countries,1989,4305700.0
Low-income countries,1990,4670900.0
Low-income countries,1991,4109300.0
Low-income countries,1992,4436300.0
Low-income countries,1993,4392300.0
Low-income countries,1994,4490400.0
Low-income countries,1995,4168400.0
Low-income countries,1996,4464600.0
Low-income countries,1997,4462000.0
Low-income countries,1998,4508400.0
Low-income countries,1999,4601000.0
Low-income countries,2000,4776260.0
Low-income countries,2001,4640077.0
Low-income countries,2010,11761536.0
Low-income countries,2011,14168274.0
Low-income countries,2012,13737453.0
Low-income countries,2013,14815345.0
Low-income countries,2014,14719339.0
Low-income countries,2015,12867667.0
Low-income countries,2016,13753911.0
Low-income countries,2017,15919522.0
Low-income countries,2018,17823482.0
Low-income countries,2019,18690732.0
Low-income countries,2020,8026937.5
Low-income countries,2021,11917901.0
